daily_test,daily_case,daily_death,daily_recover,total_test,total_case,total_death,total_recover,bed_occupancy_rate
161125.0,6713.0,153.0,3254.0,17406742.0,453535,12511.0,377891.0,54.7
155516.0,6017.0,139.0,3812.0,17245617.0,446822,12358.0,374637.0,54.7
152214.0,5532.0,135.0,3233.0,17090101.0,440805,12219.0,370825.0,54.7
156642.0,5103.0,141.0,3019.0,16937887.0,435273,12084.0,367592.0,54.7
157756.0,4542.0,123.0,2918.0,16781245.0,430170,11943.0,364573.0,54.7
158811.0,4215.0,116.0,2592.0,16623489.0,425628,11820.0,361655.0,54.7
156692.0,3819.0,103.0,2688.0,16464678.0,421413,11704.0,359063.0,54.7
151516.0,3316.0,94.0,2712.0,16307986.0,417594,11601.0,356375.0,54.7
142496.0,3223.0,89.0,2561.0,16156470.0,414278,11507.0,353663.0,53.5
150141.0,3116.0,92.0,2298.0,16013974.0,411055,11418.0,351102.0,53.5
149942.0,3045.0,93.0,2010.0,15863833.0,407939,11326.0,348804.0,53.5
148482.0,2841.0,88.0,2181.0,15713891.0,404894,11233.0,346794.0,53.5
145989.0,2693.0,86.0,2112.0,15565409.0,402053,11145.0,344613.0,53.5
146198.0,2529.0,87.0,2215.0,15419420.0,399360,11059.0,342501.0,53.5
145411.0,2576.0,85.0,2047.0,15273222.0,396831,10972.0,340286.0,53.5
141944.0,2516.0,84.0,2018.0,15127811.0,394255,10887.0,338239.0,51.7
139675.0,2483.0,81.0,1928.0,14985867.0,391739,10803.0,336221.0,51.7
145241.0,2436.0,83.0,1914.0,14846192.0,389256,10722.0,334293.0,51.7
146028.0,2311.0,81.0,1714.0,14700951.0,386820,10639.0,332379.0,51.7
144416.0,2391.0,77.0,1841.0,14554923.0,384509,10558.0,330665.0,51.7
146247.0,2343.0,79.0,1817.0,14410507.0,382118,10481.0,328824.0,51.7
139103.0,2302.0,76.0,1521.0,14264260.0,379775,10402.0,327007.0,51.7
123343.0,2106.0,74.0,1515.0,14125157.0,377473,10326.0,325486.0,50.8
124109.0,2213.0,75.0,1506.0,14001814.0,375367,10252.0,323971.0,50.8
136525.0,2322.0,78.0,1703.0,13877705.0,373154,10177.0,322465.0,50.8
134416.0,2319.0,72.0,1581.0,13741180.0,370832,10099.0,320762.0,50.8
128312.0,2305.0,77.0,1662.0,13606764.0,368513,10027.0,319181.0,50.8
127651.0,2209.0,76.0,1511.0,13478452.0,366208,9950.0,317519.0,50.8
132913.0,2198.0,75.0,1618.0,13350801.0,363999,9874.0,316008.0,50.8
112215.0,2017.0,72.0,1297.0,13217888.0,361801,9799.0,314390.0,48.1
113427.0,2091.0,69.0,1573.0,13105673.0,359784,9727.0,313093.0,48.1
115979.0,2165.0,74.0,1493.0,12992246.0,357693,9658.0,311520.0,48.1
117198.0,2102.0,71.0,1581.0,12876267.0,355528,9584.0,310027.0,48.1
117943.0,2013.0,68.0,1507.0,12759069.0,353426,9513.0,308446.0,48.1
116565.0,1894.0,74.0,1512.0,12641126.0,351413,9445.0,306939.0,48.1
116249.0,2026.0,75.0,1424.0,12524561.0,349519,9371.0,305427.0,48.1
101403.0,1815.0,72.0,1504.0,12408312.0,347493,9296.0,304003.0,48.7
112131.0,1723.0,71.0,1401.0,12306909.0,345678,9224.0,302499.0,48.7
117005.0,1812.0,73.0,1419.0,12194778.0,343955,9153.0,301098.0,48.7
116103.0,1693.0,66.0,1311.0,12077773.0,342143,9080.0,299679.0,48.7
115328.0,1671.0,57.0,1396.0,11961670.0,340450,9014.0,298368.0,48.7
114992.0,1632.0,62.0,1314.0,11846342.0,338779,8957.0,296972.0,48.7
115605.0,1614.0,58.0,1301.0,11731350.0,337147,8895.0,295658.0,48.7
109301.0,1502.0,59.0,1212.0,11615745.0,335533,8837.0,294357.0,48.6
113102.0,1649.0,56.0,1391.0,11506444.0,334031,8778.0,293145.0,48.6
115295.0,1629.0,55.0,1402.0,11393342.0,332382,8722.0,291754.0,48.6
117101.0,1615.0,58.0,1398.0,11278047.0,330753,8667.0,290352.0,48.6
116608.0,1581.0,56.0,1355.0,11160946.0,329138,8609.0,288954.0,48.6
112421.0,1511.0,55.0,1229.0,11044338.0,327557,8553.0,287599.0,48.6
115632.0,1603.0,57.0,1320.0,10931917.0,326046,8498.0,286370.0,48.6
104402.0,1429.0,57.0,1182.0,10816285.0,324443,8441.0,285050.0,49.3
103219.0,1502.0,59.0,1211.0,10711883.0,323014,8384.0,283868.0,49.3
114857.0,1442.0,63.0,1506.0,10608664.0,321512,8325.0,282657.0,49.3
113546.0,1407.0,67.0,1402.0,10493807.0,320070,8262.0,281151.0,49.3
112098.0,1391.0,65.0,1245.0,10380261.0,318663,8195.0,279749.0,
114940.0,1427.0,68.0,1452.0,10268163.0,317272,8130.0,278504.0,
115523.0,1412.0,65.0,1422.0,10153223.0,315845,8062.0,277052.0,
101119.0,1467.0,68.0,1116.0,10037700.0,314433,7997.0,275630.0,
102009.0,1511.0,71.0,1232.0,9936581.0,312966,7929.0,274514.0,
112885.0,1665.0,73.0,1318.0,9834572.0,311455,7858.0,273282.0,
113317.0,1721.0,74.0,1241.0,9721687.0,309790,7785.0,271964.0,
